Date and time: 2022-12-21 16:44:05.880708
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data
paper_area = 6241mm2; paper_area_threshold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/11
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data/template/template.jpg
leaves parameters[0, 71, 0, 255, 120, 255]
roots parameters[51, 255, 0, 255, 134, 255]
seeds parameters[0, 31, 35, 255, 156, 255]
blur parameters[5, 3, 130]

76,54.066118029040595,,37.5094721664715,30.793254864036157,54.99016002883195
77,50.544229899404776,77.1799432233945,49.73754760581728,,
78,59.69863085344158,72.61549074020628,41.70840068593851,64.79839206901342,48.90261484161269
79,63.140983745022034,25.992590193986263,57.582476161202244,20.593153737541563,53.10113805705106
80,,,,,79.76028427587214
81,53.53123402382844,39.1165352394706,,,51.66728138002401
82,,76.30651652496537,49.37354100001677,,59.197260965364116
83,,,75.7723459000627,,
84,56.97625113851881,63.576911187235076,77.16011062555559,60.07536490357006,
85,22.089321932385488,,36.11314321080391,25.96504222916245,39.37567632600455
86,,53.02984965916189,,,15.763122969931981
87,,,,,60.37294138788007
88,,89.6241272180556,,46.85309165437078,27.68123492311209
89,,74.49383043951808,55.046687684008944,,
90,58.77602008612703,,,29.547916220839696,
91,88.68602174015095,,65.68469302594703,17.91635468834607,15.519077238982375
92,,,67.60177902605426,,0.0
93,99.76275431713482,97.00557483854924,,,72.81150041060125
94,,,,35.871097783823814,
95,,57.90896796238179,,,
96,75.39501170146336,94.09777116678737,64.62237764965658,,
97,49.320123969722765,,,,
98,,,,,
99,,44.134079524605795,34.137383676124124,,0.0
100,,40.30938873833449,,,
101,,,,,
102,10.720812865040202,,,,
103,,47.31553971208297,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,57.28983594805675,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,14.197400307820713,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
