Date and time: 2023-05-30 16:10:03.780793
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/Desktop/даша/lab/plants/morley датасеты/wheat 4567/raw_data
paper_area = 6241mm2; paper_area_threshold = 1000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/11
contour_area_threshold = 344 pixels 
template_filename = C:/Users/dasha/Desktop/даша/lab/plants/morley датасеты/wheat 4567/template.JPG
leaves parameters[0, 113, 0, 255, 105, 255]
roots parameters[50, 255, 0, 255, 120, 255]
seeds parameters[0, 20, 86, 255, 101, 255]
blur parameters[5, 5, 139]

,4day,5day,6day,7day
81,32.600870299287806,26.061457924642706,140.8484928191909,150.30053817934933
82,19.37436096832642,99.17536006419223,,71.38877735124187
83,,134.54914430031832,1.1167370101283223,8.66816500208336
84,,99.98108546505706,55.765057650849016,25.324201373574443
85,35.10267681416459,27.36365727978746,,53.47878212146584
86,38.71353348040427,24.79434367600699,44.81022446886784,
87,7.823514499234016,80.08970637952247,25.138339909094043,16.850539569263876
88,,25.02952209325566,110.29559063353892,114.40429262481325
89,,22.86528904638333,,153.90695865261196
90,16.589237366140583,25.70196984101489,5.069631506296829,
91,3.5317609490895125,11.763614713685637,,1.1010522336336714
92,11.90028384126663,4.254875087499773,,21.041820699426808
93,,20.45245956878881,32.07187546808927,
94,,87.72301349496277,,10.752046686062448
95,7.883624063638881,5.255989616117591,80.59245311044614,42.272026362942
